claim_id,similarity,nli_label,nli_confidence,verdict,reasoning
C001,0.6006075143814087,neutral,0.9251379370689392,WEAK,"NLI=neutral (0.93), sim=0.60 → ambiguous"
C002,0.6536372900009155,entailment,0.9972525238990784,GROUNDED,"NLI=entailment (1.00), sim=0.65"
C003,0.6125403046607971,contradiction,0.9997871518135071,UNGROUNDED,NLI=contradiction (1.00)
C004,0.6677533388137817,neutral,0.9995618462562561,WEAK,"NLI=neutral (1.00), sim=0.67 → ambiguous"
C005,0.48340097069740295,neutral,0.9991852641105652,WEAK,"NLI=neutral (1.00), sim=0.48 → ambiguous"
C006,0.5780223608016968,entailment,0.9973934888839722,GROUNDED,"NLI=entailment (1.00), sim=0.58"
C007,0.46093428134918213,neutral,0.9651235938072205,WEAK,"NLI=neutral (0.97), sim=0.46 → ambiguous"
C008,0.4053362011909485,neutral,0.9997401833534241,WEAK,"NLI=neutral (1.00), sim=0.41 → ambiguous"
C009,0.3986707925796509,neutral,0.9982591271400452,WEAK,"NLI=neutral (1.00), sim=0.40 → ambiguous"
C010,0.27469736337661743,contradiction,0.8359532952308655,UNGROUNDED,NLI=contradiction (0.84)
C011,0.4951113164424896,neutral,0.9991402626037598,WEAK,"NLI=neutral (1.00), sim=0.50 → ambiguous"
C012,0.6750946640968323,neutral,0.9985219836235046,WEAK,"NLI=neutral (1.00), sim=0.68 → ambiguous"
C013,0.6270771026611328,neutral,0.9996612071990967,WEAK,"NLI=neutral (1.00), sim=0.63 → ambiguous"
C014,0.7822939157485962,neutral,0.9988569021224976,WEAK,"NLI=neutral (1.00), sim=0.78 → ambiguous"
C015,0.4994404911994934,neutral,0.9994333386421204,WEAK,"NLI=neutral (1.00), sim=0.50 → ambiguous"
C016,0.40221425890922546,entailment,0.9969335794448853,WEAK,"NLI=entailment (1.00), sim=0.40 → ambiguous"
C017,0.588165283203125,neutral,0.9991670846939087,WEAK,"NLI=neutral (1.00), sim=0.59 → ambiguous"
C018,0.3565877676010132,contradiction,0.9927865862846375,UNGROUNDED,NLI=contradiction (0.99)
C019,0.5002433657646179,neutral,0.9990246295928955,WEAK,"NLI=neutral (1.00), sim=0.50 → ambiguous"
C020,0.5554132461547852,neutral,0.999792754650116,WEAK,"NLI=neutral (1.00), sim=0.56 → ambiguous"
C021,0.46271413564682007,entailment,0.9980717897415161,WEAK,"NLI=entailment (1.00), sim=0.46 → ambiguous"
C022,0.5835139751434326,entailment,0.9938481450080872,GROUNDED,"NLI=entailment (0.99), sim=0.58"
C023,0.3798697590827942,contradiction,0.5944804549217224,UNGROUNDED,NLI=contradiction (0.59)
C024,0.28270861506462097,neutral,0.9989455342292786,UNGROUNDED,"NLI=neutral (1.00), low sim=0.28"
C025,0.37496769428253174,entailment,0.952471911907196,WEAK,"NLI=entailment (0.95), sim=0.37 → ambiguous"
